additional_info,Hotel_Address,City,hotel_facilities,Ratings,Attractions,Hotel_Name,property_type,state
Room Service Internet Access Restaurant,"Opposite Palace Ground Sankey Road, Bangalore- 560020",Bangalore,Doctor on Call Internet Access - Surcharge Laundry Service Available Lift   Elevator Lobby Non Smoking Rooms Parking Facilities Available Front Desk Multi Cuisine Restaurant  Locker Facility Local Tour   Travel Desk Major Credit Cards Accepted Luggage Storage Medical Assistance Available Air-Conditioning - Central Welcome Drinks Power Backup Wake-up Call   Service Smoking Rooms Free Local Calls Room Service (24 Hours) Parking Facility Room Service Public Restrooms Suites,0,"Bangalore Golf Club,Consulat de la République Française,Karnataka State Consumer Disputes Redressal Commission,ISKCON Bangalore - Sri Jagannath Mandir,Bangalore Cantt Railway Station,Consulate General of France,Indian Institute of Science,Bangalore Palace,Chinnappa Garden Bus Stop,Malleswaram,Malleswaram Railway Station,ISKCON Sri Radha Krishna Temple,Vikram Hospital,RTO Office,Benson Town Post Office",Tulip Inn Bangalore,Hotel,Karnataka
Room Service Internet Access Restaurant,"opp Sangam Beauty Parlour, Near Fire Station, 204, Harish Mukherjee Rd, Jatin Das Park, Patuapara,",Kolkata,"Laundry Service Available Lift   Elevator Lobby Parking Facilities Available Front Desk Multi Cuisine Restaurant  Locker Facility 24 Hour Front Desk Luggage Storage Doorman Medical Assistance Available Air-Conditioning - Central Power Backup Pick Up and Drop (Rly Station, Bus Stand, Temple) Extra Person   Child - Share the same room Car Rental Newspapers In Lobby Parking Facility Internet Access  Restaurant Room Service Public Restrooms Suites",3,,Treebo Globe International,Hotel,West Bengal
Room Service,"20, Prernatirth 1, Jodhpur Char Rasta, Ahmedabad - 380015, Prernatirth Jain Derasar",Ahmedabad,Lobby Non Smoking Rooms 24 Hour Front Desk Room Service (24 Hours) Room Service,0,"Sidi Saiyad Masjid,Vadilal Sarabhai Hospital,S.G. Road,Delhi Darwaja Gate,Teen Darwaja,Ahmedabad Railway Station,Kankaria Lake,Geeta Mandir Bus Stop,Paldi Bus Terminus,Lal Darwaja AMTS Bus Terminus,Ahmedabad Central Bus Station,National Institute of Design,CG Road,Gandhigram Railway Station,HCG Multi Specialty Hospital,Law garden,Sardar Patel Stadium,Ahmedabad Institute Of Medical Services Hospital,Hutheesing Jain Temple,St Xaviers College,Ahmedabad University,Ellis Bridge,Bhadra Fort",Uma Corporate Services,Guest House,Gujarat
,"Behind Sogani Hospital,Sumel Road, Agra Road",Jaipur,Laundry Service Available Parking Facilities Available Local Tour   Travel Desk,0,Others,The Woodsvilla Resort,Resort,Rajasthan
Room Service,"Kalamb Beach Road, At and Post Kalamb, Nalasopara West, Thane",Palghar,Doctor on Call Parking Facilities Available Front Desk Adjoining Rooms RO Water Purification System Outdoor Parking - Secured Parking Facility Room Service First-Aid Kit at Front Desk,0,"Mahim Rd,Sheetla Devi Temple",Tulsi Farmhouse,Resort,Maharashtra
Room Service Internet Access Swimming Pool Restaurant,"GAT NO. 246, BOPARDI, WAI-MANDHARDEVI ROAD, NEXT TO WAI MIDC, WAI",Wai,Swimming Pool Banquet Facilities Barbecue Area Business Center  Games Zone Lobby Parking Facilities Available Pets Allowed Front Desk Multi Cuisine Restaurant  Solarium Table Tennis Major Credit Cards Accepted Welcome Drinks Power Backup Gardens Audio - Visual Equipment Multi Lingual Staff Exhibit Space Suitable For Children Separate Sitting Area Conference Facility  Smoking Rooms Kitchen available (home cook food on request) Electronic   Magnetic Keys Picnic Area Wheelchair Accessibility - Room Pool Table Nature Walk Smoking Area  Veranda Extra Person   Child - Share the same room Car Rental Water Dispenser Available Taxi Services Mini Theatre Board Room Amphitheatre Campfire   Bon Fire Food Facility Newspapers In Lobby Family Room  Cook Services Party hall Outdoor Parking - Non Secured Parking Facility Internet Access Restaurant Room Service Trekking Fire Safety Recreation Zone CCTV First-Aid Kit at Front Desk Paid Transfers Public Restrooms Stamps and Mailing Facility,0,Mahabaleshwar,The Yellow Retreat - Wai,Resort,Maharashtra
Room Service Restaurant,"39/2, Juhu Beach, Next to Hotel Sun-N-Sand, Juhu, Mumbai -400049",Mumbai,Dry Cleaning Laundry Service Available Lift   Elevator Lobby Parking Facilities Available Front Desk Multi Cuisine Restaurant  24 Hour Front Desk Power Backup Multi Lingual Staff Smoking Area  Open Air Restaurant   Dining  Food Facility Parking Facility Restaurant Room Service CCTV Public Restrooms,2,"Vile Parle Railway Station,Santacruz Station,Juhu Beach,ISKCON,Khar subway,Milan Subway,Juhu",Treebo Sea Side,Hotel,Maharashtra
Room Service Internet Access Swimming Pool Restaurant Free Internet,"Guirim, Bypass Junction, Mapusa, Goa - 403507",Goa,Swimming Pool Business Center  Dry Cleaning Laundry Service Available Lift   Elevator Lobby Parking Facilities Available Front Desk Multi Cuisine Restaurant  Local Tour   Travel Desk 24 Hour Front Desk Power Backup Multi Lingual Staff Suitable For Children Conference Facility  Vegetarian Food   Jain Food Available Food Facility Newspapers In Lobby Outdoor Parking - Secured Parking Facility Internet Access Restaurant Room Service Fire Safety CCTV Fire Exit Signs First-Aid Kit at Front Desk Public Restrooms Security at All Hotel Entrances,3,,Treebo Green Park,Hotel,Goa
Room Service,Treetops Cottage Naggar,Kullu,Doctor on Call Front Desk Luggage Storage Parking Facility Room Service,0,"Kullu,Arjun Gufa,Naggar,Naggar Village",Treetops Cottage,Cottage,Himachal Pradesh
Room Service Internet Access Swimming Pool Restaurant,"1286 Kumar Vaddo Near St Michael Church, Anjuna",Goa,"Swimming Pool Airport Transfer Available   Surcharge Bar   Lounge  Currency Exchange Doctor on Call Games Zone Laundry Service Available Lobby Parking Facilities Available Front Desk Multi Cuisine Restaurant  Locker Facility Table Tennis Local Tour   Travel Desk 24 Hour Front Desk Luggage Storage Welcome Drinks Power Backup Express Check-In   Check-Out Wake-up Call   Service Separate Sitting Area Coffee Shop   Cafe Wheelchair Accessibility - Room Pool Table Poolside Bar Pick Up and Drop (Rly Station, Bus Stand, Temple) Smoking Area   Bike on Rent Vegetarian Food   Jain Food Available Extra Person   Child - Share the same room Car Rental Kids Play Zone Taxi Services Food Facility Newspapers In Lobby Family Room Room Service (24 Hours) Parking Facility Internet Access Restaurant Fire Safety",3,"Baga Beach,Calangute beach ,Anjuna Beach,Panjim,North Goa,Anjuna Area",The Tamarind Hotel,Hotel,Goa
Room Service Restaurant,"NH-11 Bikaner Jaipur Highway, 15 km Mile Stone",Bikaner,Banquet Facilities Doctor on Call Laundry Service Available Lobby Parking Facilities Available Front Desk Local Tour   Travel Desk Air-Conditioning - Central Coffee Shop   Cafe Safari Taxi Services Guide   Sightseeing Service,0,"10Th Mile Stone, Jaipur Bikaner Highway",Umaid Safaris &amp; Desert Lodge,Lodge,Rajasthan
Room Service Swimming Pool Restaurant,"Trees N Tigers Sariska, Village Kushalpura Ghatilata Dist- Alwar Rajasthan",Alwar,"Swimming Pool Airport Transfer Available   Surcharge Banquet Facilities Bar   Lounge  Currency Exchange Doctor on Call Dry Cleaning Laundry Service Available Library Lobby Non Smoking Rooms Parking Facilities Available Front Desk Multi Cuisine Restaurant  Locker Facility Table Tennis Local Tour   Travel Desk Medical Assistance Available Power Backup Express Check-In   Check-Out Gardens Dance Performances (on demand) Catering Suitable For Children Separate Sitting Area Conference Facility  Access Via Exterior Corridors Kitchen available (home cook food on request) Picnic Area Safari Pick Up and Drop (Rly Station, Bus Stand, Temple) Nature Walk Camel Ride Open Air Restaurant   Dining   Bike on Rent Horse Ride ( Chargeable )  Vegetarian Food   Jain Food Available Extra Person   Child - Share the same room Village Visit ( Chargeable ) Car Rental Kids Play Zone Taxi Services Board Room Campfire   Bon Fire Food Facility  Drivers Rest Room Spa Services Nearby Party hall Guide   Sightseeing Service RO Water Purification System Outdoor Parking - Secured Parking Facility Restaurant Room Service Trekking Fire Safety First-Aid Kit at Front Desk Full Time Operation for All 7 Days Paid Transfers Public Restrooms Security at All Hotel Entrances",4,Sariska Tiger Reserve,Trees and Tigers Sariska,Resort,Rajasthan
Room Service Internet Access Restaurant,"83/2 Biyabani, Dhar Road Near Gangwal Bus stand Indore, Madhya Pradesh-452002",Indore,Bar   Lounge  Lift   Elevator Parking Facilities Available Front Desk Multi Cuisine Restaurant  24 Hour Front Desk Power Backup Catering Multi Lingual Staff Wake-up Call   Service Suitable For Children Smoking Rooms Smoking Area  Veg   Non Veg Kitchens Separate  Vegetarian Food   Jain Food Available Food Facility Newspapers In Lobby Outdoor Parking - Secured Parking Facility Internet Access  Restaurant Room Service Fire Safety CCTV Fire Exit Signs First-Aid Kit at Front Desk Full Time Operation for All 7 Days Public Restrooms Security at All Hotel Entrances,3,,Treebo Shivani,Hotel,Madhya Pradesh
Restaurant,Village-Jamun Tola,Pench,Multi Cuisine Restaurant  24 Hour Front Desk Welcome Drinks Guide   Sightseeing Service Parking Facility,0,"Railway Station,Kanha National Park,Jabalpur,Bandhavgarh National Park,River Ride,Village-Jamun Tola,Pench National Park,Elephant Rides",Tribal Camp Resort,Resort,Madhya Pradesh
Room Service Gym Spa Swimming Pool Restaurant,"120, St. Marys Road, Alwarpet",Chennai,"Swimming Pool Airport Transfer Available   Surcharge Banquet Facilities Bar   Lounge  Barbecue Area Currency Exchange Doctor on Call Dry Cleaning Health Club   Gym Facility Available Lift   Elevator Lobby Night Club Non Smoking Rooms Parking Facilities Available Front Desk Multi Cuisine Restaurant  Locker Facility Local Tour   Travel Desk Major Credit Cards Accepted 24 Hour Front Desk Luggage Storage Medical Assistance Available Air-Conditioning - Central Power Backup Gardens Wake-up Call   Service Separate Sitting Area Coffee Shop   Cafe Conference Facility  Smoking Rooms Electronic   Magnetic Keys Wheelchair Accessibility - Room Discotheque  Pick Up and Drop (Rly Station, Bus Stand, Temple) Nature Walk Smoking Area  Open Air Restaurant   Dining  Extra Person   Child - Share the same room Car Rental Taxi Services Food Facility Newspapers In Lobby Room Service (24 Hours) Spa Services Nearby Party hall Air   Rail Booking STD   ISD Baggage Room Adjoining Rooms RO Water Purification System Outdoor Parking - Secured Parking Facility",5,"Indira Nagar MRTS Station,German Consulate General,Consulate Of Korean,Metropolitan Transport Corporation Bus Terminus,Greenways Road MRTS Station,Consulate Of Japan,Consulate General of Malaysia,Switzerland Consulate,Valluvar Statue,Kotturpuram Railway Station,Oberoi Hotel,Mandaveli MRTS Station,US Consulate,e-con Systems India Private Limited,Broken bridge,Kotturpuram MRTS Station,Consulate General of the Republic of Korea in Chennai,T Nagar Bus Terminus,Madras Race Club,Phillipines Embassy,Honorary Consulate of Ireland,Aalayamman Bus Stop,Russian Consulate,Anna University,Ramee Mall,Adyar Park,Mylapore,Mundakakanni Amman Kovil Railway Station,Thirumayilai MRTS Station,Arulmigu Kapaleeswarar Temple,Gandhi Mandapam",The Raintree St. Marys Road,Hotel,Tamil Nadu
Room Service Restaurant,"Survey No.71,plot No.5 Door No.2-1 Miyapur hyderabad 500049",Hyderabad,Laundry Service Available Lift   Elevator Parking Facilities Available Front Desk Multi Cuisine Restaurant  24 Hour Front Desk Multi Lingual Staff Smoking Rooms Smoking Area  Veg   Non Veg Kitchens Separate  Food Facility Outdoor Parking - Secured Parking Facility Restaurant Room Service CCTV Public Restrooms,3,Kukatpally,Treebo Sadhvika,Hotel,Andhra Pradesh
Room Service Swimming Pool Restaurant Free Internet,"Sana beach, Mandarmoni, Mednipur(E)",Mandarmani,Swimming Pool Banquet Facilities Business Center  Doctor on Call Dry Cleaning Laundry Service Available Lobby Front Desk Multi Cuisine Restaurant  24 Hour Front Desk Conference Facility  Kids Play Zone Taxi Services Internet Access Free Room Service (24 Hours) Spa Services Onsite - Free Guide   Sightseeing Service Parking Facility,4,"Mandarmani Beach,Purba Medinipur",The Sana Beach,Resort,West Bengal
Internet Access Swimming Pool,"Kuppamudi Estate, Kolagapara Post, Wayand District",Wayanad,Swimming Pool Gift Shop  Internet Access - Surcharge Laundry Service Available Parking Facilities Available Locker Facility Major Credit Cards Accepted Power Backup Gardens Suitable For Children Massage Services  Nature Walk Veranda Extra Person   Child - Share the same room Express Laundry Food Facility  Drivers Rest Room Whirlpool Bath   Shower Cubicle STD   ISD Outdoor Parking - Secured Parking Facility Internet Access Ayurvedic Facilities  Trekking Fire Safety,4,"Edakkal Caves,Sulthan Bathery,Edakkal Cave",Tranquil Resort,Resort,Kerala
Room Service Gym Spa Swimming Pool Restaurant,"Dughera, Tehsil- behror,Neemrana, Dist. Alwar",Neemrana,Swimming Pool Bar   Lounge  Billiards Health Club   Gym Facility Available Laundry Service Available Parking Facilities Available Front Desk Multi Cuisine Restaurant  Locker Facility Secretarial Services Tennis Court 24 Hour Front Desk Medical Assistance Available Welcome Drinks Power Backup Gardens Audio - Visual Equipment Dance Performances (on demand) Multi Lingual Staff Fitness Equipment Suitable For Children Coffee Shop   Cafe Conference Facility  Nature Walk In House Events  Vegetarian Food   Jain Food Available Car Rental Badminttion Court Board Room Campfire   Bon Fire Food Facility Newspapers In Lobby Whirlpool Bath   Shower Cubicle Postal   Parcel Services Room Service (24 Hours) Courier Service Outdoor Parking - Secured Parking Facility,4,"Neemrana Fort Palace,Vinay Vilas Mahal,Bala Quila,Delhi-Jaipur Highway",Treehouse Dwarka Neemrana,Resort,Rajasthan
Room Service Internet Access Gym Spa Restaurant Free Internet,"Residency Road, Chinnakkada, Kollam 691 001, India.",Kollam,Banquet Facilities Business Center  Currency Exchange Doctor on Call Gift Shop  Health Club   Gym Facility Available Internet Access - Surcharge Laundry Service Available Lift   Elevator Parking Facilities Available Front Desk Multi Cuisine Restaurant  Local Tour   Travel Desk Valet service 24 Hour Front Desk Power Backup Coffee Shop   Cafe Conference Facility  Board Room Outdoor Parking - Secured Parking Facility Room Service Ayurvedic Facilities,3,Chinnakada,The Vaidya Hotel,Hotel,Kerala
Room Service Restaurant Free Internet,"Sai Jyothi Apt 28, Flat No: T-2(3rd floor) Opp: Andhra Bank, Cook Town, DCosta Layout, 1st cross,",Bangalore,Doctor on Call Laundry Service Available Parking Facilities Available Multi Cuisine Restaurant  24 Hour Front Desk Power Backup Newspapers In Lobby Room Service (24 Hours) Parking Facility,0,"Ub City Mall,Deputy High Comission of United Kingdom,Consulate of Oman,consulate of Italy,Sree Kanteerava Stadium,Cubbon Park,Government S.K.S.J. Technology Institute,Attara Kacheri,UB City,Consulate of Japan,Sri Krishnarajendra Silver Jubilee Technological Institute,Chief Metropolitan Magistrate Court,Mallya Hospital,Consulate of Canada,BWSSB Pump House,PWD Office,Consulate of Belgium,Income Tax Department,General Post Office,High Court of Karnataka,Deputy High Commission of United States of America,Vidhana Soudha,Magistrate Court,Deputy Commissioner for Transport and Senior RTO,Others",Tranquil D'Costa,Hotel,Karnataka
Room Service Internet Access Free Internet,Manchally village  post  Kutta   south coorg,Coorg,Doctor on Call Front Desk Locker Facility 24 Hour Front Desk Luggage Storage Internet Access Free Newspapers In Lobby Room Service (24 Hours) Parking Facility Internet Access Room Service Fire Safety CCTV Fire Exit Signs First-Aid Kit at Front Desk Public Restrooms,3,Others,Tropical Blooms Homestay,Homestay,Karnataka
Room Service Internet Access,"G block Sushant lok 2,gurgaon,122002",Gurgaon,Internet Access - Surcharge Laundry Service Available Parking Facilities Available Power Backup Outdoor Parking - Secured Room Service,1,"Sushant Lok,Sahara Mall,Kingdom of Dreams,Gallaria Market,Vipul Agora Mall,Iffco Chowk,Leisure Valley Park,MG Road metro Station",Triple Three GuestHouse,Hotel,Haryana
Room Service Internet Access Restaurant,"Railway station road, opposite RTO office",Aurangabad,Banquet Facilities Currency Exchange Doctor on Call Internet Access - Surcharge Laundry Service Available Lobby Non Smoking Rooms Parking Facilities Available Pets Allowed Front Desk Multi Cuisine Restaurant  Local Tour   Travel Desk Luggage Storage Medical Assistance Available Power Backup Gardens Wedding Services Facility Suitable For Children Separate Sitting Area Smoking Rooms Smoking Area  Veranda Taxi Services  Drivers Rest Room Newspapers In Lobby Children's Park Baggage Room Adjoining Rooms RO Water Purification System Outdoor Parking - Secured Outdoor Parking - Non Secured Parking Facility Internet Access Restaurant Room Service Full Time Operation for All 7 Days,0,"Pitalkhora Caves,Daulatabad Fort,Panchakki (Water Mill),Railway Station Road,Aurangabad Railway Station",Tourists Home,Hotel,Maharashtra
Room Service Internet Access,"Next to Gundecha Onclave, Kherani Road, Sakinaka, Mumbai,",Mumbai,Dry Cleaning Laundry Service Available Lobby Front Desk 24 Hour Front Desk Power Backup Multi Lingual Staff Wake-up Call   Service Conference Facility  Smoking Rooms Smoking Area  Extra Person   Child - Share the same room Food Facility Newspapers In Lobby Family Room Internet Access Room Service Public Restrooms,3,"Chatrapathi Shivaji International Airport,Mount Mary Church,Juhu Beach,Gateway of India,Domestic Airport,Siddhivinayak Temple,Andheri Railway Station,Bandra Fort,Versova Beach,Bandra Kurla Complex,SEEPZ,Powai,Inorbit Mall,Bus Stand,Linking Road (Shopping Area),Ghatkopar Railway Station,Vidhyavihar Station,Mumbai Airport,Chandivali Studio",Treebo Arma Residency,Hotel,Maharashtra
Room Service Internet Access,"744 Main Mathura Road Bhogal, Jangpura, South Delhi, New Delhi",Delhi,Doctor on Call Dry Cleaning Laundry Service Available Lift   Elevator Parking Facilities Available Front Desk 24 Hour Front Desk Doorman Medical Assistance Available Welcome Drinks Power Backup Suitable For Children Kitchen available (home cook food on request) Veg   Non Veg Kitchens Separate  Car Rental Food Facility Newspapers In Lobby Postal   Parcel Services Courier Service Internet   Fax (Reception area only) Internet Access  Room Service Fire Exit Signs Full Time Operation for All 7 Days Hotel Trading License Security at All Hotel Entrances Stamps and Mailing Facility,3,"International Airport,Domestic Airport,New Delhi Railway Station,Qutub Minar,India Gate,Red Fort,Lotus Temple,Nehru Place,National Museum,Connaught Place,Jantar Mantar,Trade Fair Grounds (Pragati Maidan),Humayun Tomb,Mahatma Gandhi's Memorial (Raj Ghat),Jama Masjid,Akshardham Mandir,Delhi Zoo(Purana Qila),Nehru Memorial Museum&amp;Planetorium,Nizamuddin Railway Station,South Delhi,Hazrat Nizammudin Railway Station,Lajpat Nagar Market,Humayuns Tomb,Jawaharlal Nehru Stadium,Jamia Millia Islamia,Moolchand Medcity,Lajpat Nagar,Sarai Kale Khan Bus Terminus,Jangpura,Old Fort",The Sagar Residency,Hotel,Delhi
Room Service Restaurant Free Internet,Kumily Thekkady Road,Thekkady,Laundry Service Available Parking Facilities Available Front Desk Multi Cuisine Restaurant  Power Backup Internet Access Free Room Service (24 Hours) Outdoor Parking - Secured Parking Facility,3,,Thekkady Woods,Hotel,Kerala
Room Service Swimming Pool Restaurant Free Internet,"1/1128, Kunnumpuram,fortkochi",Ernakulam,Swimming Pool Currency Exchange Laundry Service Available Parking Facilities Available Front Desk Multi Cuisine Restaurant  Locker Facility Local Tour   Travel Desk Major Credit Cards Accepted Power Backup Internet Access Free Room Service (24 Hours) Parking Facility,3,"Fort Kochi,Bolgatty Palace,Jewish Synagogue",Tissa's Inn,Hotel,Kerala
Room Service Internet Access Restaurant,"29/7, Industrial and Business Park, Phase II, Chandigarh",Chandigarh,Babysitting  Child Care (surcharge) Banquet Facilities Bar   Lounge  Concierge Disabled Friendly Facilities  Doctor on Call Internet Access - Surcharge Laundry Service Available Lift   Elevator Lobby Non Smoking Rooms Parking Facilities Available Front Desk Multi Cuisine Restaurant  Locker Facility Valet service Major Credit Cards Accepted 24 Hour Front Desk Air-Conditioning - Central Power Backup Express Check-In   Check-Out Gardens Coffee Shop   Cafe Electronic   Magnetic Keys Open Air Restaurant   Dining  Vegetarian Food   Jain Food Available Extra Person   Child - Share the same room Newspapers In Lobby Family Room Party hall Baggage Room RO Water Purification System Outdoor Parking - Secured Parking Facility,4,"Rose Garden,Pinjore Garden,Chandigarh Airport,Rock Garden,Industrial And Business Park,Centra Mall,Tagore Theatre,Composite Hospital ITBP,Sector 17 City Centre,Landmark Hospital,Babe di Hatti,Chandigarh Railway Station",Turquoise,Hotel,Punjab
Room Service Internet Access Gym Spa Swimming Pool Restaurant,"Survey No. 201/P1, Kedakal Village,Suntikoppa Hobli, Somwarpet Taluk,Mercara, Kodagu District",Coorg,Swimming Pool Banquet Facilities Bar   Lounge  Billiards Business Center  Doctor on Call Dry Cleaning Games Zone Health Club   Gym Facility Available Laundry Service Available Lobby Parking Facilities Available Private   Plunge Pool Front Desk Multi Cuisine Restaurant  Locker Facility Spa On Site - Chargeable Table Tennis Tennis Court Valet service Major Credit Cards Accepted 24 Hour Front Desk Medical Assistance Available Welcome Drinks Power Backup Gardens Wedding Services Facility Multi Lingual Staff Wake-up Call   Service Fitness Equipment Suitable For Children Coffee Shop   Cafe Conference Facility  Disabled Friendly Rooms Fax Machine Fire Place Available  Pool Table Massage Services  Safari Nature Walk Vegetarian Food   Jain Food Available Express Laundry Badminttion Court Board Room Food Facility Newspapers In Lobby Yoga Hall   Classes Room Service (24 Hours) Party hall Internet   Fax (Reception area only) Outdoor Parking - Secured Parking Facility Internet Access Restaurant Room Service Fishing Ayurvedic Facilities  Trekking First-Aid Kit at Front Desk Suites,5,"Tala Cauvery,Golden Temple,Abbey Falls,Raja Seat,Nagarhole,Omkareshwari Temple,Fort and Large Masonry Elephants ,Suntikoppa",The Windflower Resorts &amp; Spa,Resort,Karnataka
Room Service Internet Access Restaurant Free Internet,"105, Snowdon Road, Ooty , Tamil Nadu- 643001",Ooty,Business Center  Dry Cleaning Laundry Service Available Lobby Parking Facilities Available Front Desk Multi Cuisine Restaurant  24 Hour Front Desk Power Backup Gardens Multi Lingual Staff Wake-up Call   Service Suitable For Children Conference Facility  Smoking Rooms Smoking Area  Veg   Non Veg Kitchens Separate  Food Facility Newspapers In Lobby Outdoor Parking - Secured Parking Facility Internet Access Restaurant Room Service Fire Safety CCTV Fire Exit Signs First-Aid Kit at Front Desk Full Time Operation for All 7 Days Public Restrooms Security at All Hotel Entrances,3,,Treebo Yantra Leisures,Hotel,Tamil Nadu
Room Service Internet Access Free Internet,"Radiant plaza, Aastha Enclave, Dhanaula Road, Barnala, Punjab",Barnala,Airport Transfer Available   Surcharge Business Center  Doctor on Call Dry Cleaning Internet Access - Surcharge Laundry Service Available Lift   Elevator Lobby Front Desk Locker Facility Local Tour   Travel Desk Valet service Major Credit Cards Accepted 24 Hour Front Desk Luggage Storage Welcome Drinks Power Backup Wedding Services Facility Wake-up Call   Service Suitable For Children Conference Facility  Car Rental Taxi Services Board Room  Drivers Rest Room Internet Access Free Newspapers In Lobby Room Service (24 Hours) Party hall RO Water Purification System Parking Facility Internet Access,3,Aastha Enclave,UNA Smart Radiant Plaza,Hotel,Punjab
Room Service Gym Spa Swimming Pool Restaurant,"Beach Road, Kollam",Kollam,Swimming Pool Airport Transfer Available   Surcharge Ballroom Banquet Facilities Bar   Lounge  Business Center  Currency Exchange Disabled Friendly Facilities  Doctor on Call Dry Cleaning Health Club   Gym Facility Available Laundry Service Available Lift   Elevator Lobby Non Smoking Rooms Parking Facilities Available Front Desk Multi Cuisine Restaurant  Locker Facility Spa On Site - Chargeable Local Tour   Travel Desk Valet service Major Credit Cards Accepted 24 Hour Front Desk Luggage Storage Medical Assistance Available Air-Conditioning - Central Welcome Drinks Power Backup Express Check-In   Check-Out Audio - Visual Equipment Wedding Services Facility Exhibit Space Wake-up Call   Service Fitness Equipment Sauna Coffee Shop   Cafe Conference Facility  Disabled Friendly Rooms Multi - Line Phone Jacuzzi Wheelchair Accessibility - Room Vegetarian Food   Jain Food Available Extra Person   Child - Share the same room Village Visit ( Chargeable ) Car Rental Express Laundry Taxi Services Board Room  Drivers Rest Room Newspapers In Lobby Children's Park Room Service (24 Hours) Party hall STD   ISD Baggage Room Guide   Sightseeing Service Laptop Available on Hire Adjoining Rooms Parking Facility,5,"Mahatma Gandhi Beach,Shendurni Wildlife Sanctuary,Sasthamkotta (Fresh Water Lake),THENMALA ECO TOURISM,KOLLAM RAILWAY STATION,Paravoor Lake,Thenmala,Thirumullawaram Beach,Trivandrum Airport,Amrithananthamayi Ashram,Paravur,Varkala Beach,Mayyanadu,Alumkadavu (Backwaters),Oachira,Neendakara,Munroe Island/Munrothuruthu,Thangal Kunju Musliar College of Engineering, Kilikolloor,Cochin,Chavara,Palaravi Waterfalls,Kundara,Thangassery Churches,Palaruvi Waterfalls,Beach Road",The Quilon Beach Hotel,Hotel,Kerala
Room Service Internet Access,"Ghodbunder Rd, Anand Nagar, Thane West, Thane, Maharashtra",Thane,Laundry Service Available Lift   Elevator Non Smoking Rooms Parking Facilities Available Front Desk Local Tour   Travel Desk 24 Hour Front Desk Power Backup Multi Lingual Staff Wake-up Call   Service Smoking Rooms Jacuzzi Wheelchair Accessibility - Room Smoking Area  Newspapers In Lobby Parking Facility Internet Access Room Service Fire Safety Public Restrooms,3,Thane West,Treebo Blossom,Hotel,Maharashtra
,Buxi Bazar,Cuttack,,3,"Buxi Bazar,Barabati Fort,Cuttack Chandi Temple",The Triple C Hotel,Hotel,Orissa
Room Service,"Jayendraganj,Lashkar,Gwalior",Gwalior,Banquet Facilities Lobby Front Desk Conference Facility,0,"phoolbagh,Captain Roop Singh Stadium,Lashkar,Suraj Kund,Gujari Mahal",Usha Kiran Palace Hotel,Hotel,Madhya Pradesh
Room Service Internet Access Free Internet,"Kodiyat Near Chandra Shekhar Colony Post Sisarma,Udaipur 313001",Udaipur,"Doctor on Call Dry Cleaning Laundry Service Available Pets Allowed Power Backup Kitchen available (home cook food on request) Pick Up and Drop (Rly Station, Bus Stand, Temple) Vegetarian Food   Jain Food Available Car Rental Taxi Services Campfire   Bon Fire Food Facility Outdoor Parking - Non Secured Internet Access  Room Service",0,"Sajjangarh Wildlife Sanctuary,Others",The Royale Country Retreat,Homestay,Rajasthan
,"Civile lines, old patrika marg, Civil lines",Allahabad,,2,"Ashoka Pillar,Allahabad Museum,Allahabad University,Civil Lines,Swaraj Bhavan",Tulip House,Hotel,Uttar Pradesh
Room Service Internet Access,"3rd Floor,Shivam Arcade,Opp.Nirman Tower,Near Aloft Hotel,Ghatlodiya,Ahmedabad,Gujarat 380061",Ahmedabad,Business Center  Dry Cleaning Laundry Service Available Lift   Elevator Lobby Parking Facilities Available Front Desk Major Credit Cards Accepted 24 Hour Front Desk Power Backup Wedding Services Facility Multi Lingual Staff Suitable For Children Conference Facility  Smoking Rooms Smoking Area  Food Facility Newspapers In Lobby Outdoor Parking - Secured Parking Facility Internet Access  Room Service Fire Safety CCTV Fire Exit Signs First-Aid Kit at Front Desk Full Time Operation for All 7 Days Public Restrooms Security at All Hotel Entrances,2,"Chandlodiya Railway Station,Gurukul Road,CIMS Hospital,S.G. Road,Gujarat Science City,Sterling Hospital,SAL Hospital",Treebo Unity,Hotel,Gujarat
Room Service Internet Access Restaurant,"21, Shilpgram Road, Taj Nagari -1, Near Shilpgram, Agra- 282001",Agra,Business Center  Laundry Service Available Lift   Elevator Lobby Parking Facilities Available Front Desk Multi Cuisine Restaurant  Local Tour   Travel Desk 24 Hour Front Desk Multi Lingual Staff Wake-up Call   Service Conference Facility  Smoking Rooms Board Room Food Facility Airport Transfer Free Parking Facility Internet Access  Restaurant Room Service CCTV Fire Exit Signs,2,,Treebo White Inn,Hotel,Uttar Pradesh
Room Service,C-111 South City 1 Gurgaon,Gurgaon,"Doctor on Call Laundry Service Available Parking Facilities Available Front Desk Major Credit Cards Accepted Power Backup Pick Up and Drop (Rly Station, Bus Stand, Temple) Car Rental Room Service (24 Hours)",0,"Gurgaon Railway Station,Sheetla Mata Mandir,Star Mall,Sadar Bazar,District And Sessions Court-Gurgaon,The Sheetala Devi Temple,Huda Gymkhana Club,Civil Hospital,Sector 39,Sheetla Hospital,City Centre Mall,Aarvy Hospital,Gurgaon Bus Terminus,Dlf Golf and Country Club",The Solitaire Villa,Villa,Haryana
